Maximum Payoff: 31208866
46387 46519 96926
46559 46631 91249
46722 46850 76117
46943 47334 93853
47343 47688 24856
47784 48228 81133
48253 48959 89641
49029 49191 70764
49253 49441 5647
49460 49722 91250
49752 49919 95880
50085 50116 81288
50123 50449 87759
50650 50924 97671
51031 51820 81071
51913 52096 96296
52100 52375 66023
52524 52709 48719
52777 53234 97538
53307 53370 19344
53410 53424 79764
53426 53583 33072
53681 53731 80219
53870 53910 69241
54039 54222 85905
54290 54466 21772
54497 54866 40277
55044 55070 88797
55246 55583 77581
55739 56107 70688
56288 56426 93903
56690 56742 70602
56940 56954 93640
57217 57413 44922
57487 57621 71428
57640 57688 41421
57708 57857 57954
57928 57997 92766
58000 58455 95777
58521 58760 73523
58797 59373 46621
59432 59615 71923
59635 59663 15611
59789 60048 87405
60330 60355 90588
60572 60792 93526
60830 61017 61157
61162 61166 60256
61421 61532 57839
61637 61873 70826
62038 62253 83621
62336 62353 50772
62502 62810 94006
62894 62907 54716
63034 63259 97780
63483 63606 86917
63630 64017 84117
64223 64336 57567
64462 64532 62751
64574 64595 76624
64634 64965 77355
65001 65074 77084
65348 65403 89567
65732 65851 83483
65859 66126 92658
66173 66433 90121
66693 66851 91741
66951 67162 68665
67204 67257 25723
67407 67572 67447
67637 67643 94065
67768 67780 54134
67811 68066 99927
68087 68095 21731
68181 68436 54041
68531 68595 26201
68674 69040 11650
69068 69182 87487
69189 69357 58892
69528 69641 97018
69743 69834 93003
70018 70108 37754
70113 70192 36202
70196 70549 77601
70575 70707 74506
70811 71251 58819
71284 71454 95933
71613 71651 34906
71696 71897 69503
71902 72176 78362
72352 72456 94169
72475 72725 37921
72802 72919 98490
73008 73056 96155
73130 73296 20700
73310 73331 68762
73372 73567 46924
73568 73610 95682
73790 73832 68696
73866 73987 56469
74071 74299 75498
74398 74440 99115
74499 74615 64347
74640 74690 16943
74703 74800 31159
74933 75000 34563
75112 75155 99148
75240 75446 73171
75493 75525 55434
75530 75557 42637
75641 75797 30087
75988 75993 47713
76035 76124 78980
76225 76515 76343
76533 76665 93612
76680 76694 75864
76790 76846 50143
76866 76899 55272
76899 77013 36445
77067 77138 16895
77138 77293 88989
77402 77471 72180
77481 77653 51157
77770 77968 63623
78004 78100 72672
78312 78346 88719
78377 78386 39207
78435 78548 37865
78559 78616 38032
78769 78845 58822
78905 79096 95409
79108 79298 82922
79301 79504 90643
79534 79641 8759
79675 79725 96626
79903 80010 46691
80069 80243 86291
80372 80403 95891
80412 80672 82428
80672 80983 93917
81021 81157 77052
81340 81402 75910
81563 81577 93302
81578 81736 98066
81740 81825 96049
81849 82032 74770
82045 82067 99004
82178 82633 84231
82678 82907 89885
83008 83136 69906
83287 83339 79527
83470 83525 99781
83574 83871 98872
83885 84013 24380
84120 84206 83594
84231 84331 89923
84449 84532 52293
84738 84744 44006
84860 84924 95008
85101 85157 79686
85162 85246 24711
85264 85300 88381
85325 85395 93447
85414 85451 29285
85459 85532 67679
85626 85824 66766
85879 86067 70510
86152 86239 69486
86287 86301 83154
86392 86631 88274
86686 86707 17767
86707 86899 74298
86960 86963 48113
86980 87366 84058
87394 87435 69676
87459 87673 59187
87692 87795 77583
87953 87965 83401
87978 87982 61450
88136 88403 90890
88492 88569 55949
88582 88681 54587
88707 88743 58971
88753 88775 48574
88813 88843 127
88894 88999 93494
89076 89105 22816
89156 89174 99049
89315 89399 82504
89439 89449 43764
89552 89573 82448
89577 89722 88150
89803 89810 81608
89915 90170 95483
90191 90283 48857
90405 90507 92122
90638 90673 26545
90677 90718 56525
90748 90799 12375
90801 90809 95470
90835 90960 29519
91053 91095 92116
91100 91113 97857
91141 91262 37057
91346 91427 71782
91453 91744 72361
91750 91831 34291
91841 91852 95467
91961 91966 61253
91998 92191 84522
92206 92226 76897
92300 92351 70101
92359 92501 96505
92591 92611 44609
92616 92681 67107
92716 92780 37206
92800 92853 63388
92924 93033 91557
93040 93294 17395
93368 93386 65769
93428 93492 72041
93495 93574 11465
93574 93613 93046
93694 93769 84699
93799 93841 12471
93862 93908 89783
93912 94094 78812
94150 94256 88407
94304 94514 99511
94522 94636 74793
94640 94735 52839
94792 94813 24823
94926 94927 86437
95050 95073 60156
95090 95166 98903
95256 95271 87185
95274 95282 87216
95349 95536 66316
95545 95599 91373
95600 95737 48354
95740 95764 58595
95837 95891 73439
95910 95921 47637
95927 95949 73218
95952 95971 29538
96072 96086 69646
96090 96187 50223
96192 96246 99143
96270 96278 39023
96298 96345 38191
96372 96415 42122
96422 96426 68794
96451 96455 35622
96519 96527 89750
96540 96628 31835
96629 96703 93450
96755 96760 85888
96809 96835 43494
96862 96887 95705
96932 96973 94926
96986 97116 54626
97120 97130 89050
97142 97178 95874
97178 97192 22985
97205 97244 99636
97361 97409 94314
97421 97446 3740
97464 97474 99652
97576 97603 61622
97634 97661 70771
97686 97748 34829
97754 97781 34785
97828 97829 296
97831 97855 77164
97863 97969 54985
97989 98114 98926
98125 98135 50422
98162 98199 85048
98206 98211 74094
98265 98267 84733
98318 98393 64444
98408 98427 41621
98430 98433 73178
98464 98523 90077
98575 98595 71260
98619 98706 89640
98707 98709 93752
98744 98748 95882
98779 98793 77251
98860 98873 41296
98885 98924 84510
98953 98955 30510
98983 99058 69614
99069 99096 88043
99098 99100 67377
99105 99163 53430
99169 99194 66956
99200 99272 94905
99276 99305 83591
99306 99324 83932
99331 99351 85266
99355 99357 95919
99372 99387 85773
99399 99414 79791
99438 99457 91709
99468 99485 83190
99507 99509 1058
99517 99530 87030
99538 99565 61761
99569 99576 31302
99577 99589 49560
99594 99598 80739
99610 99671 95648
99672 99682 61531
99685 99703 98678
99704 99724 64367
99725 99743 32231
99746 99781 99157
99781 99787 99086
99793 99795 24184
99817 99832 6465
99834 99848 99537
99849 99864 82074
99867 99877 59413
99879 99886 87421
99888 99900 47177
99902 99905 25600
99907 99920 68284
99925 99939 96149
99944 99954 48329
99954 99959 45332
99961 99971 63351
99975 99984 96197
99985 99990 68131
99992 99994 43079
99994 99995 51500
99995 99996 29635
99998 99999 40508
